sample,hic_dir,assembly,meryldb,agp,version,date,genomesize
OG101,/scratch/pawsey0964/lhuet/post_curation/OG101/hic,/scratch/pawsey0964/lhuet/post_curation/OG101/assembly,/scratch/pawsey0964/lhuet/post_curation/OG101/meryl,/scratch/pawsey0964/lhuet/post_curation/OG101/agp,hic1,v240206,463148198.0
OG61,/scratch/pawsey0964/lhuet/post_curation/OG61/hic,/scratch/pawsey0964/lhuet/post_curation/OG61/assembly,/scratch/pawsey0964/lhuet/post_curation/OG61/meryl,/scratch/pawsey0964/lhuet/post_curation/OG61/agp,hic1,v250317,497676843.0
OG659,/scratch/pawsey0964/lhuet/post_curation/OG659/hic,/scratch/pawsey0964/lhuet/post_curation/OG659/assembly,/scratch/pawsey0964/lhuet/post_curation/OG659/meryl,/scratch/pawsey0964/lhuet/post_curation/OG659/agp,hic1,v240427,733027122.0
OG664,/scratch/pawsey0964/lhuet/post_curation/OG664/hic,/scratch/pawsey0964/lhuet/post_curation/OG664/assembly,/scratch/pawsey0964/lhuet/post_curation/OG664/meryl,/scratch/pawsey0964/lhuet/post_curation/OG664/agp,hic1,v241018,937586279.0
OG676,/scratch/pawsey0964/lhuet/post_curation/OG676/hic,/scratch/pawsey0964/lhuet/post_curation/OG676/assembly,/scratch/pawsey0964/lhuet/post_curation/OG676/meryl,/scratch/pawsey0964/lhuet/post_curation/OG676/agp,hic1,v240327,633086596.0
OG749,/scratch/pawsey0964/lhuet/post_curation/OG749/hic,/scratch/pawsey0964/lhuet/post_curation/OG749/assembly,/scratch/pawsey0964/lhuet/post_curation/OG749/meryl,/scratch/pawsey0964/lhuet/post_curation/OG749/agp,hic1,v250331,670742894.0
OG758,/scratch/pawsey0964/lhuet/post_curation/OG758/hic,/scratch/pawsey0964/lhuet/post_curation/OG758/assembly,/scratch/pawsey0964/lhuet/post_curation/OG758/meryl,/scratch/pawsey0964/lhuet/post_curation/OG758/agp,hic1,v241127,523203132.0
OG766,/scratch/pawsey0964/lhuet/post_curation/OG766/hic,/scratch/pawsey0964/lhuet/post_curation/OG766/assembly,/scratch/pawsey0964/lhuet/post_curation/OG766/meryl,/scratch/pawsey0964/lhuet/post_curation/OG766/agp,hic1,v241004,628241596.0
OG767,/scratch/pawsey0964/lhuet/post_curation/OG767/hic,/scratch/pawsey0964/lhuet/post_curation/OG767/assembly,/scratch/pawsey0964/lhuet/post_curation/OG767/meryl,/scratch/pawsey0964/lhuet/post_curation/OG767/agp,hic1,v250331,1539424730.0
OG785,/scratch/pawsey0964/lhuet/post_curation/OG785/hic,/scratch/pawsey0964/lhuet/post_curation/OG785/assembly,/scratch/pawsey0964/lhuet/post_curation/OG785/meryl,/scratch/pawsey0964/lhuet/post_curation/OG785/agp,hic1,v241004,855052045.0
OG800,/scratch/pawsey0964/lhuet/post_curation/OG800/hic,/scratch/pawsey0964/lhuet/post_curation/OG800/assembly,/scratch/pawsey0964/lhuet/post_curation/OG800/meryl,/scratch/pawsey0964/lhuet/post_curation/OG800/agp,hic1,v241004,679276561.0
OG803,/scratch/pawsey0964/lhuet/post_curation/OG803/hic,/scratch/pawsey0964/lhuet/post_curation/OG803/assembly,/scratch/pawsey0964/lhuet/post_curation/OG803/meryl,/scratch/pawsey0964/lhuet/post_curation/OG803/agp,hic1,v240927,751310397.0
